username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2020-06-10 14:56;18261;63546;"Incredible! @FoxNews just took Congressional Hearing off the air just prior to important witness statements. More like CNN!!! Fox is lost!!!";;@FoxNews;;"1270731508538580993";https://twitter.com/realDonaldTrump/status/1270731508538580993
realDonaldTrump;2020-06-10 14:33;11234;40902;"Great statement to Congress by @Jim_Jordan concerning Defunding (not!) our great Police. This Radical Left agenda is not going to happen. Sleepy Joe Biden will be (already is) pulled all the way Left. Many, like Minneapolis, want to close their Police Departments. Crazy!";;@Jim_Jordan;;"1270725736559755264";https://twitter.com/realDonaldTrump/status/1270725736559755264
realDonaldTrump;2020-06-10 13:32;18281;58226;"“For the first time in history, Police Organizations & National Security Organizations were used to SPY on a Campaign, & there was no basis for it. The media largely drove that, & claims were made that could have affected the election of the President.” A.G. Bill Barr @BretBaier";;@BretBaier;;"1270710492412157953";https://twitter.com/realDonaldTrump/status/1270710492412157953
realDonaldTrump;2020-06-10 12:51;17983;81491;"New York State is killing small businesses. Let them properly open! @foxandfriends";;@foxandfriends;;"1270700008824803328";https://twitter.com/realDonaldTrump/status/1270700008824803328
realDonaldTrump;2020-06-10 12:49;20833;105941;"NASDAQ HITS ALL-TIME HIGH. Tremendous progress being made, way ahead of schedule. USA!";;;;"1270699603147534339";https://twitter.com/realDonaldTrump/status/1270699603147534339
realDonaldTrump;2020-06-10 02:14;16872;49893;"pic.twitter.com/lEwOBtMVUf";;;;"1270539683899072512";https://twitter.com/realDonaldTrump/status/1270539683899072512
realDonaldTrump;2020-06-10 02:10;25469;74653;"pic.twitter.com/FKGagCwNZ2";;;;"1270538700926136323";https://twitter.com/realDonaldTrump/status/1270538700926136323
realDonaldTrump;2020-06-10 02:02;18092;66442;"“Republican AGs come out in force against defunding police”https://www.foxnews.com/politics/republican-ags-come-out-in-force-against-defunding-police …";;;;"1270536723953573890";https://twitter.com/realDonaldTrump/status/1270536723953573890
realDonaldTrump;2020-06-10 00:45;31454;149837;"Thank you George, great honor!https://twitter.com/thehill/status/1270488116424564743 …";;;;"1270517294192525312";https://twitter.com/realDonaldTrump/status/1270517294192525312
realDonaldTrump;2020-06-09 18:34;23505;109466;"Great work in the Republican Senate on some big nominees. Still 154 to go, hope they don’t adjourn until the job is done! @senatemajldr";;@senatemajldr;;"1270424134430994437";https://twitter.com/realDonaldTrump/status/1270424134430994437
realDonaldTrump;2020-06-09 17:44;15769;72295;"Relief is on the way to Utah! I’m proud to send $187.18M in CARES Act funding to @RideUTA. This money will keep people moving and support a swift and smooth economic recovery for the GREAT people of Utah!";;@RideUTA;;"1270411458430537729";https://twitter.com/realDonaldTrump/status/1270411458430537729
realDonaldTrump;2020-06-09 17:43;33675;136995;"I am allocating $2.96 BILLION in Emergency Solutions Grants to support homeless Americans and those at risk of becoming homeless because of job or wage loss, or illness due to COVID-19. We are taking care of our Nation’s most vulnerable citizens. Thanks @SecretaryCarson!";;@SecretaryCarson;;"1270411233733287936";https://twitter.com/realDonaldTrump/status/1270411233733287936
realDonaldTrump;2020-06-09 17:42;35668;148422;"My decision to appoint @usairforce General Charles Brown as the USA’s first-ever African American military service chief has now been approved by the Senate. A historic day for America! Excited to work even more closely with Gen. Brown, who is a Patriot and Great Leader!";;@usairforce;;"1270411061376815108";https://twitter.com/realDonaldTrump/status/1270411061376815108
realDonaldTrump;2020-06-09 14:23;34299;152957;"“Defunding Police would be good for Robbers & Rapists.” @SenBillCassidy";;@SenBillCassidy;;"1270360886297989120";https://twitter.com/realDonaldTrump/status/1270360886297989120
realDonaldTrump;2020-06-09 14:19;27024;98650;"BIG DEMAND! Starting up again soon, maybe next week!https://twitter.com/ByronYork/status/1269991612177879043 …";;;;"1270359787998449665";https://twitter.com/realDonaldTrump/status/1270359787998449665
realDonaldTrump;2020-06-09 14:04;33458;111531;"Should have let police do their job and brought in National Guard on Day One, not Day Four!https://twitter.com/markhiggie1/status/1269301655658512384 …";;;;"1270356020338937856";https://twitter.com/realDonaldTrump/status/1270356020338937856
realDonaldTrump;2020-06-09 13:51;17997;47812;"Minnesota needs DJT & @LacyJohnsonMN NOW. When I insisted on the National Guard, things got better FAST. Enough with Omar, you’ll have nothing left!https://twitter.com/ryanafournier/status/1270184062171385863 …";;@LacyJohnsonMN;;"1270352937575989249";https://twitter.com/realDonaldTrump/status/1270352937575989249
realDonaldTrump;2020-06-09 13:43;77254;472065;"MAKE AMERICA GREAT AGAIN!";;;;"1270350738137415682";https://twitter.com/realDonaldTrump/status/1270350738137415682
realDonaldTrump;2020-06-09 13:41;48720;244651;"THE REAWAKENING OF AMERICA!";;;;"1270350376844361729";https://twitter.com/realDonaldTrump/status/1270350376844361729
realDonaldTrump;2020-06-09 13:39;23101;112593;". @WhiteHouse TRANSITION TO GREATNESS!";;@WhiteHouse;;"1270349782821855239";https://twitter.com/realDonaldTrump/status/1270349782821855239
realDonaldTrump;2020-06-09 13:24;14785;54350;"Mattis was our Country’s most overrated General. He talked a lot, but never “brought home the bacon.” He was terrible! Someday I will tell the real story on him and others - both good and bad!https://twitter.com/gregjaffe/status/1270195299894599682 …";;;;"1270346144485343232";https://twitter.com/realDonaldTrump/status/1270346144485343232
realDonaldTrump;2020-06-09 12:42;24521;138418;"Poll: Trump Better Than Biden On Economic Growth, 55% to 34%. That’s all? Who are the 34%?";;;;"1270335574533169152";https://twitter.com/realDonaldTrump/status/1270335574533169152
realDonaldTrump;2020-06-09 12:34;45793;183081;"Buffalo protester shoved by Police could be an ANTIFA provocateur. 75 year old Martin Gugino was pushed away after appearing to scan police communications in order to black out the equipment. @OANN I watched, he fell harder than was pushed. Was aiming scanner. Could be a set up?";;@OANN;;"1270333484528214018";https://twitter.com/realDonaldTrump/status/1270333484528214018
realDonaldTrump;2020-06-09 12:30;32696;182999;"NASDAQ HITS ALL-TIME HIGH!";;;;"1270332321133182977";https://twitter.com/realDonaldTrump/status/1270332321133182977
realDonaldTrump;2020-06-09 12:25;13089;49159;"Vote today for Big Jim, a great Governor. Love West Virginia!https://twitter.com/jimjusticewv/status/1270326211391168513 …";;;;"1270331298930884608";https://twitter.com/realDonaldTrump/status/1270331298930884608
realDonaldTrump;2020-06-09 12:22;10091;38546;"A GREAT Senator. Must return to Washington. Steve has my Complete & Total Endorsement!https://twitter.com/SteveDaines/status/1268592918966571008 …";;;;"1270330321297440769";https://twitter.com/realDonaldTrump/status/1270330321297440769
realDonaldTrump;2020-06-09 12:01;24732;93812;"“Democrats & Activists call to Defund Police Departments. They’ve gone so far Left that they eat their young.” @mirandadevine @nypost @foxandfriends";;@mirandadevine @nypost @foxandfriends;;"1270325223242506241";https://twitter.com/realDonaldTrump/status/1270325223242506241
realDonaldTrump;2020-06-08 23:39;28317;124578;"https://www.breitbart.com/politics/2020/06/08/white-house-trump-restored-order-in-america/ …";;;;"1270138525825011712";https://twitter.com/realDonaldTrump/status/1270138525825011712
realDonaldTrump;2020-06-08 23:15;19574;82327;"https://dailycaller.com/2020/06/08/trump-national-guard-george-floyd-protesters-demonstrate-safely/ …";;;;"1270132257358053376";https://twitter.com/realDonaldTrump/status/1270132257358053376
realDonaldTrump;2020-06-08 23:14;17173;63192;"https://spectator.org/general-mattis-is-wrong/ …";;;;"1270132150256504837";https://twitter.com/realDonaldTrump/status/1270132150256504837
realDonaldTrump;2020-06-08 19:15;17765;64018;"https://dailycaller.com/2020/06/08/george-w-bush-spokesman-new-york-times-article-donald-trump/ …";;;;"1270071995363987461";https://twitter.com/realDonaldTrump/status/1270071995363987461
realDonaldTrump;2020-06-08 19:14;31055;96328;"...Crooked Hillary Clinton in 2016. They are called SUPPRESSION POLLS, and are put out to dampen enthusiasm. Despite 3 ½ years of phony Witch Hunts, we are winning, and will close it out on November 3rd!pic.twitter.com/4IhuLUZjsv";;;;"1270071794628726784";https://twitter.com/realDonaldTrump/status/1270071794628726784
realDonaldTrump;2020-06-08 19:14;35653;145579;"I have retained highly respected pollster, McLaughlin & Associates, to analyze todays CNN Poll (and others), which I felt were FAKE based on the incredible enthusiasm we are receiving. Read analysis for yourself. This is the same thing they and others did when we defeated...";;;;"1270071785392943105";https://twitter.com/realDonaldTrump/status/1270071785392943105
realDonaldTrump;2020-06-08 15:44;63122;306952;"This year has seen the lowest crime numbers in our Country’s recorded history, and now the Radical Left Democrats want to Defund and Abandon our Police. Sorry, I want LAW & ORDER!";;;;"1270018789250400257";https://twitter.com/realDonaldTrump/status/1270018789250400257
realDonaldTrump;2020-06-08 15:31;36318;179650;"Big day for Stock Market. Smart money, and the World, know that we are heading in the right direction. Jobs coming back FAST. Next year will be our greatest ever!";;;;"1270015726502457349";https://twitter.com/realDonaldTrump/status/1270015726502457349
realDonaldTrump;2020-06-08 13:02;44518;315236;"96% Approval Rating in the Republican Party. Thank you!";;;;"1269978005931282433";https://twitter.com/realDonaldTrump/status/1269978005931282433
realDonaldTrump;2020-06-08 12:57;27866;126898;"The Lamestream Media refuses to talk about our Country’s record setting Jobs Numbers, which are indicating GREATNESS, and soon!";;;;"1269976902665752576";https://twitter.com/realDonaldTrump/status/1269976902665752576
realDonaldTrump;2020-06-08 12:48;31983;149980;"CNN Polls are as Fake as their Reporting. Same numbers, and worse, against Crooked Hillary. The Dems would destroy America!";;;;"1269974605059555328";https://twitter.com/realDonaldTrump/status/1269974605059555328
realDonaldTrump;2020-06-08 12:33;65350;298904;"LAW & ORDER, NOT DEFUND AND ABOLISH THE POLICE. The Radical Left Democrats have gone Crazy!";;;;"1269970808329437185";https://twitter.com/realDonaldTrump/status/1269970808329437185
realDonaldTrump;2020-06-08 12:30;18507;81517;"Tremendous sincerity, what a guy. Hard to believe, with this kind of political talent, his numbers would “tank” so badly in Utah!https://twitter.com/hannah_natanson/status/1269742337934217219 …";;;;"1269970024908894209";https://twitter.com/realDonaldTrump/status/1269970024908894209
realDonaldTrump;2020-06-08 04:01;9570;45793;"Actually, a great book by a great and highly respected historian, Doug Wead!https://twitter.com/robot_amazon/status/1269840263658291205 …";;;;"1269841849038114816";https://twitter.com/realDonaldTrump/status/1269841849038114816
realDonaldTrump;2020-06-08 03:54;32322;143526;"Could it be even remotely possible that in Roger Goodell’s rather interesting statement of peace and reconciliation, he was intimating that it would now be O.K. for the players to KNEEL, or not to stand, for the National Anthem, thereby disrespecting our Country & our Flag?";;;;"1269840254871142400";https://twitter.com/realDonaldTrump/status/1269840254871142400
realDonaldTrump;2020-06-08 03:42;30825;136727;"Colin Powell was a pathetic interview today on Fake News CNN. In his time, he was weak & gave away everything to everybody - so bad for the USA. Also got the “weapons of mass destruction” totally wrong, and you know what that mistake cost us? Sad! Only negative questions asked.";;;;"1269837128059453440";https://twitter.com/realDonaldTrump/status/1269837128059453440
