username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
instantsPost;2019-03-09 16:35;0;0;"Trump says relationship with N. Korea’s Kim ‘remains good’ https://instant.com.pk/trump-says-relationship-with-n-koreas-kim-remains-good/ …pic.twitter.com/TZIUmwGxJI";;;;"1104420338916622337";https://twitter.com/instantsPost/status/1104420338916622337
UJs4mwoCWOE341O;2019-03-09 16:34;0;0;"A Date Cut Short in Hanoi for Trump and Kim http://dlvr.it/R0Vsvv pic.twitter.com/nkDDsLcgBY";;;;"1104420218095382530";https://twitter.com/UJs4mwoCWOE341O/status/1104420218095382530
abysmal_ism;2019-03-09 16:34;0;0;"If you think Republicans aren't insane enough to someday put Kanye West and Kim Kardashian in the White House, you're blind. Reminder: they put Reagan, then Bush 43, and now Donald Trump in office. The pattern entails photocopies of stupidity. Tread lightly on the MAGA, people.";;;;"1104420119566999553";https://twitter.com/abysmal_ism/status/1104420119566999553
tom_canet;2019-03-09 16:32;1;1;"Je suis sur et certain que si à la place des guerre les président et dictateur fesait des octogone sans règle pour régler leur problème sa planète irai beaucoup mieux à quand un octogone Trump Kim jung un #octogone #plusdeguerre #jailasolution";;;#octogone #plusdeguerre #jailasolution;"1104419657174388737";https://twitter.com/tom_canet/status/1104419657174388737
Follementbijoux;2019-03-09 16:32;0;0;"Amid reports that North Korea rocket launch facility operational; Trump would be ‘very surprised’ if Kim Jong Un renews testing http://www.0news.net/?p=481979";;;;"1104419643547095040";https://twitter.com/Follementbijoux/status/1104419643547095040
ThenAtlasSpoke;2019-03-09 16:31;0;0;"Funny how the Left & media forgets Obama came into negotiations that had been ongoing for years and it STILL took him 6 YEARS to finalize the deal with Iran...and we pretty much gave them everything they wanted, including tons of cash! What has Trump had with Kim, 9 months??? SMH";;;;"1104419549749936129";https://twitter.com/ThenAtlasSpoke/status/1104419549749936129
JaiRapolu;2019-03-09 16:31;0;0;"Even the big bullies like Trump and Kim are sitting at negotiating table time and again to prevent any nuclear crisis. It is alright for BJP to glorify itself saying that it had taken revenge. But don't try to insult previous governments for not taking aggressive action at the";;;;"1104419512680472576";https://twitter.com/JaiRapolu/status/1104419512680472576
AfrikMag;2019-03-09 16:31;0;0;"USA-Corée du Nord: Kim Jong Un aurait berné Donald Trump https://www.afrikmag.com/usa-coree-du-nord-kim-jong-un-aurait-berne-donald-trump/ … #berné #CoréeDuNord #DonaldTrump";;;#berné #CoréeDuNord #DonaldTrump;"1104419360888811521";https://twitter.com/AfrikMag/status/1104419360888811521
TeLoCuentoNews;2019-03-09 16:30;0;0;"#LoMásVisto Concluye sin acuerdo la cumbre entre Donald Trump y Kim Jong-un https://buff.ly/2NzJR2B pic.twitter.com/kJRPJzF8MK";;;#LoMásVisto;"1104419122530697217";https://twitter.com/TeLoCuentoNews/status/1104419122530697217
JanetWa94118686;2019-03-09 16:28;0;0;"Beltway Insider: Trump/Kim Jong Un Overshadowed, Otto Warmbier, Cohen/Trump, Brexit Implosion, Netanyahu, 2020 https://shar.es/am4lpU";;;;"1104418787460149248";https://twitter.com/JanetWa94118686/status/1104418787460149248
